Well,Date,BS&W (%),Net Oil (bopd),Form.GLR (scf/bbl),Prod Method,Test Status,Tubing Pressure (psi),Flow Line Pressure (psi),Well Choke Size
Well_C,2025-08-01,11.61,266.33,645.68,Gas Lift,OK,1141.12,39.64,"20/64"""
Well_C,2025-09-01,11.94,261.64,638.56,Gas Lift,Producing,1134.31,34.33,"20/64"""
Well_C,2025-10-01,11.9,259.27,613.03,Gas Lift,Active,1129.08,35.94,"20/64"""
Well_C,2025-11-01,12.65,247.91,619.08,Gas Lift,Normal,1139.77,37.32,"20/64"""
Well_C,2025-12-01,12.89,246.37,605.91,Gas Lift,Valid,1128.48,42.44,"20/64"""
Well_D,2025-01-01,11.25,352.88,649.8,Natural,Normal,1141.94,43.0,"24/64"""
Well_D,2025-02-01,11.52,340.97,632.34,Natural,Valid,1141.37,42.88,"24/64"""
Well_D,2025-03-01,11.8,340.68,633.46,Natural,OK,1131.83,36.83,"24/64"""
Well_D,2025-04-01,12.41,330.6,619.28,Natural,Producing,1135.59,38.76,"24/64"""
Well_D,2025-05-01,12.57,323.78,599.65,Natural,Active,1126.47,40.8,"24/64"""
Well_D,2025-06-01,13.14,320.83,592.28,Natural,Normal,1112.43,40.18,"24/64"""
Well_D,2025-07-01,13.65,312.3,595.59,Natural,Valid,1116.63,40.22,"24/64"""
Well_D,2025-08-01,13.88,297.95,586.1,Natural,OK,1116.05,42.52,"24/64"""
Well_D,2025-09-01,14.12,304.82,567.54,Natural,Producing,1116.04,40.47,"24/64"""
Well_D,2025-10-01,14.73,293.74,566.37,Natural,Active,1098.35,40.54,"24/64"""
Well_D,2025-11-01,14.74,283.48,555.01,Natural,Normal,1111.14,40.03,"24/64"""
Well_D,2025-12-01,15.5,279.86,548.65,Natural,Valid,1099.65,34.52,"24/64"""
Well_E,2025-01-01,12.89,400.07,588.44,Natural,Normal,1117.17,38.14,"18/64"""
Well_E,2025-02-01,13.45,400.62,595.93,Natural,Valid,1118.17,40.43,"18/64"""
Well_E,2025-03-01,14.18,386.59,582.62,Natural,OK,1114.31,39.7,"18/64"""
Well_E,2025-04-01,14.42,382.31,556.78,Natural,Producing,1104.62,42.07,"18/64"""
Well_E,2025-05-01,14.74,361.41,560.5,Natural,Active,1112.7,43.31,"18/64"""
Well_E,2025-06-01,15.27,366.83,551.73,Natural,Normal,1098.21,41.39,"18/64"""
Well_E,2025-07-01,15.58,357.62,527.36,Natural,Valid,1099.47,41.66,"18/64"""
Well_E,2025-08-01,16.21,350.92,509.22,Natural,OK,1105.29,44.72,"18/64"""
Well_E,2025-09-01,16.56,349.18,513.67,Natural,Producing,1091.18,42.53,"18/64"""
Well_E,2025-10-01,16.94,334.93,501.02,Natural,Active,1090.83,39.0,"18/64"""
Well_E,2025-11-01,17.66,337.17,473.05,Natural,Normal,1082.92,44.83,"18/64"""
Well_E,2025-12-01,18.27,325.99,469.99,Natural,Valid,1087.94,41.16,"18/64"""
